Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/cRCXEFhpBEI?si=6A2YpBsXM9WqT6rW
Miniband Side Lying Clamshell,Beginner,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/vSpyJR3dA7s?si=voo83Swm5kMbYEwl
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/bDvFd4EZt8M
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/NeO0w4Jv4rs?si=zFKHnPvts0-arQgk
Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/oS3cYfl6Bns
Stability Ball Hip Thrust,Beginner,Glutes,Stability Ball,Lower Body,Bodybuilding,https://youtu.be/4azLK_5vOqY?si=bceKCFzhvhSW5jXe
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Stability Ball,Lower Body,Bodybuilding,https://youtu.be/x4lc8HocO1c
Bodyweight Frog Pump,Beginner,Glutes,Bodyweight,Lower Body,Unsorted*,https://youtu.be/7IVoH7E4rWo
Dumbbell Frog Pump,Beginner,Glutes,Dumbbell,Lower Body,Unsorted*,https://youtu.be/N6t2Fv0SKGc
Cable Glute Kickback,Novice,Glutes,Cable,Lower Body,Bodybuilding,https://youtu.be/qJxwJ1e1HxI?si=5y999i_uPybFFDol
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/I7Zwyzr8COk
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Suspension Trainer,Lower Body,Bodybuilding,https://youtu.be/bZUGEwxZVks?si=GXDy3dTxYcWMuQpw
Miniband Thigh Lateral Walk,Beginner,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/34fVGXqWWs8
Miniband Ankle Lateral Walk,Novice,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/N4tkpDMlqCQ
Miniband Feet Lateral Walk,Intermediate,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/GxqfnFHLH6c
Miniband Standing Glute Kickback,Novice,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/VfxcvV94YG4?si=GvLsj424P4itfbZo
Barbell Hip Thrust,Novice,Glutes,Barbell,Lower Body,Bodybuilding,https://youtu.be/5S8SApGU_Lk
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Barbell,Lower Body,Bodybuilding,https://youtu.be/BMIy2gtjsTI?si=JnJL8ZiliAOk_Ac1
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Stability Ball,Lower Body,Bodybuilding,https://youtu.be/LSUPiOJOA6M
Miniband Standing Hip Abduction,Novice,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/dZNkjqKNUUs
Miniband 3 Way Cha Cha,Beginner,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/3SOcMYQWbDU
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Lower Body,Bodybuilding,https://youtu.be/5D-hSAvpFls?si=2EfexeMUADw51Wu2
Cable Hip Abduction,Novice,Abductors,Cable,Lower Body,Unsorted*,https://youtu.be/saVSMtIttZE?si=qgSuj5ww8uiz2Wkd
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Miniband,Lower Body,Unsorted*,https://youtu.be/w5nYnnT1E9s
Slider Barbell Overhead Lateral Lunge,Advanced,Adductors,Sliders,Lower Body,Bodybuilding,
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/4DUIY95jX6Y
Barbell Shrug,Novice,Trapezius,Barbell,Upper Body,Bodybuilding,
Cable Face Pull,Novice,Shoulders,Cable,Upper Body,Unsorted*,https://youtu.be/CruifQcSALU
Cable Seated Face Pull,Novice,Shoulders,Cable,Upper Body,Unsorted*,https://youtu.be/4UhV4cCkugM
Cable Guillotine Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/KLM1hUecXbY
Cable Supine Bicep Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/hBC7lPyEkVM
High Cable Straight Bar Bicep Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/xaMJYDzqTZg
Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/9Dd8iiEUs_Q?si=juy6zuf-MVn-W8j8
EZ Bar Spider Curl,Novice,Biceps,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/wtbHEt6Qi8g?si=wca7IhWcGWNDg2QX
Stability Ball Cable Preacher Curl,Novice,Biceps,Stability Ball,Upper Body,Bodybuilding,https://youtu.be/uEjtuyC6-bc
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/fOV-z1wARvs?si=pxr3u-XyVhL6BlD3
