Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
Bar Strict Muscle Up,Expert,Back,Pull Up Bar,Upper Body,Calisthenics,https://youtu.be/t8_M2aHiNDk?si=s9zri6LcdUJrvwbV
Bar Tuck Front Lever Pull Up,Expert,Back,Pull Up Bar,Upper Body,Calisthenics,
Bodyweight Tuck Planche Push Up,Expert,Chest,Bodyweight,Upper Body,Calisthenics,https://youtu.be/U-MgWVM_2-Y?si=-XnkVL5OAVXtyCPu
Double Clubbell Asynchronous Mill,Expert,Shoulders,Clubbell,Upper Body,Ballistics,https://youtu.be/2t7u5sapU1Q?si=KigwClnysDsb8CGJ
Clubbell Order Step Up,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Clubbell Order Alternating Step Up,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Bodyweight L Sit,Expert,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/pO4BH0dKCIY?si=qKwpWcDltQZ0K61z
Bodyweight Single Arm L Sit,Master,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/l-7PDo_nf-c?si=SV8BnhirXI2QflsN
Alternating Single Arm Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/X8I4Uq4QgYE?si=0ZNJz2TPEC0nSZaa
Single Arm Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/vVElqek25fI?si=4-FGE3vFSRTkYdG4
Single Arm Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/oOB02xJgzrA?si=IO-ooFFstcNesTGD
Single Arm Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/tildBryP8bI?si=mIky-m7uqR4kMvB3
Single Arm Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/q7sQB0_p7XQ?feature=shared
Parallette V Sit to Pike Press Handstand,Expert,Shoulders,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/i3tkgdhZuj0?si=lupWBeLYXNXi2bV0
Ring Pseudo Planche Push Up,Expert,Chest,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/f09iB8jbioo?si=MFJiOigiohOtQybY
Single Arm Macebell Order Contralateral Cossack Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Macebell,Lower Body,Bodybuilding,
Stability Ball Feet Elevated Glute Bridge,Novice,Glutes,Stability Ball,Lower Body,Bodybuilding,https://youtu.be/8Ta_A9vAEGs?si=pSj3gDFijzwcALE4
Bodyweight Mountain Climber,Novice,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/kLh-uczlPLg?si=WfwS9PlCOc9d1t1N
Suspension Feet Elevated Mountain Climber,Intermediate,Abdominals,Suspension Trainer,Midsection,Unsorted*,https://youtu.be/p3O2xyC21KU?si=Yt4cH3nEfCtCr9Uv
Bodyweight Straddle L Sit,Expert,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/XS7Y1jQ-kxs?si=hFDuiao7cTRRHUCT
Single Arm Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/xhyigP6lpAM?feature=shared
Bodyweight Cossack Squat,Beginner,Quadriceps,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/lyMHR7F8lPA?si=An72TBlVkZQu4GMO
Single Arm Macebell Order Walking Lunge,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Bodyweight Wall Facing Handstand Push Up,Expert,Shoulders,Bodyweight,Upper Body,Calisthenics,https://youtu.be/ZDhNSacJLEE?si=aGw3Fw5a7Q34pWuk
Ring Pelican Push Up,Expert,Chest,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/4zSzWYRiBGI?si=NqLN5I_ZFwPkfPXM
Barbell Back Rack Alternating Step Up,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/_iZ9bGw84H8?si=4Ff3XGU-WRY1uN0k
Barbell Front Rack Alternating Step Up,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/b8ldbeOnJEI?si=PBXslcF1v1YEXgGU
Ring Feet Elevated Pelican Push Up,Expert,Chest,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/HdaAXHcN0-M?si=fT7_2ec7wdcSALfm
Suspension Pelican Push Up,Expert,Chest,Suspension Trainer,Upper Body,Unsorted*,
Ring Tuck L Sit,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/Vuc-nodHS0Y?si=S81fiCUEtPrZUe6Z
Ring Tuck L Sit Hang,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/SLyOG8ujcu0?si=IAzc53JTuuKNMz90
Bar Tuck L Sit Hang,Intermediate,Abdominals,Pull Up Bar,Midsection,Calisthenics,https://youtu.be/QA_dH6cjbw0?si=29xMuvVPe0ttRvvK
Single Arm Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/LMStE_hD9E4?si=_iskUn08-BQH0mYu
Ring Support Mountain Climber,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/5BaV4f58I3c?si=LhV-BmrDvHK1G_uI
Ring Feet Elevated Mountain Climber,Intermediate,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/kbPOFMH-Ivk?si=ftd7bXesKjVBgNrW
Single Arm Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/neuw_JknIms?si=QPBFpV8bvbtlFLfL
Ring Dead Hang,Beginner,Back,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/uMcoQ-ijpsk
Parallette Kneeling Push Up,Beginner,Chest,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/iHR7BprMyEc
Clubbell Outside Circle,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,https://youtu.be/9lVJZ8o8nzM?si=4NnTRdg9x60PkNsZ
Single Arm Macebell Order Carry,Novice,Forearms,Macebell,Full Body,Unsorted*,
Clubbell Order Carry,Novice,Forearms,Clubbell,Full Body,Unsorted*,
Macebell Order Carry,Novice,Forearms,Macebell,Full Body,Unsorted*,
Clubbell Front Flag Hold Carry,Intermediate,Forearms,Clubbell,Full Body,Unsorted*,
Macebell Order March,Novice,Abdominals,Macebell,Midsection,Balance,
Single Arm Macebell Order March,Novice,Abdominals,Macebell,Midsection,Balance,
Single Arm Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/N4GPqbj8Nds?feature=shared
Stability Ball T's Y's I's ,Beginner,Shoulders,Stability Ball,Upper Body,Postural,https://youtu.be/1jP1PR9Gls0?si=esOirS5dWd5oUqG0
Resistance Band Reverse Fly,Beginner,Shoulders,Resistance Band,Upper Body,Unsorted*,https://youtu.be/C2wsrjVHvuA
Resistance Band Lateral Raise,Beginner,Shoulders,Resistance Band,Upper Body,Bodybuilding,https://youtu.be/1feV0cW5U60?si=e6dhNFXt6CLSbkRE
Double Dumbbell Lateral Raise,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/XPPfnSEATJA?si=yNFrwT2Aj4G98NVF
Single Arm Resistance Band Standing Shoulder External Rotation,Beginner,Shoulders,Resistance Band,Upper Body,Unsorted*,
Double Dumbbell Seated Lateral Raise,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/GBo4Cj8i9VI?si=_ZCYRalndjXZl58y
Single Arm Dumbbell Side Lying Shoulder External Rotation,Beginner,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/_qPQKid-LRs
Miniband Standing Shoulder External Rotation,Beginner,Shoulders,Miniband,Upper Body,Unsorted*,https://youtu.be/4cpQr1VbcEU
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Beginner,Shoulders,Dumbbell,Upper Body,Unsorted*,
Stability Ball Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Stability Ball,Upper Body,Unsorted*,https://youtu.be/4Hwcp9HP9D4
Single Arm Cable Lateral Raise,Beginner,Shoulders,Cable,Upper Body,Bodybuilding,https://youtu.be/9s0F9lgTG0E?si=hlzVQJ0I5qgbvM45
Double Dumbbell Seated Overhead Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/3GFZpOYu0pQ
Double Dumbbell Overhead Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/AqzDJHxynwo?si=FpgeOvlc1u-WxGMb
Double Dumbbell Shrug,Beginner,Trapezius,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/llSrlpd7TEE?si=7L7ARn0S6ByQmI59
Double Dumbbell Standing Scaption,Beginner,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/bhemEvr0qiM?si=WahKrQS3-uEP1hYU
EZ Bar Kneeling Rollout,Intermediate,Abdominals,EZ Bar,Midsection,Unsorted*,https://youtu.be/qGVLUwKTvTw?si=wziniMZUeqke6bE4
EZ Bar Standing Rollout,Advanced,Abdominals,EZ Bar,Midsection,Unsorted*,https://youtu.be/zGZrhC_VWIQ?feature=shared
Double Dumbbell Seated Scaption,Beginner,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/Vn1cULRUhZI
Stability Ball Double Dumbbell Seated Scaption,Beginner,Shoulders,Stability Ball,Upper Body,Unsorted*,https://youtu.be/PKgkMmXAVUs
Alternating Double Dumbbell Bicep Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/WYezBGuUsdw
Alternating Double Dumbbell Incline Bench Bicep Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/bgYt7ZgFc9M
Alternating Double Dumbbell Hammer Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/h46ccQsXDEk
Alternating Double Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/buP9fSqWcw4?si=-lKec0VHJ1XbZYRH
Single Arm Dumbbell Incline Bench Preacher Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/DPYrHeVKvQA
Dumbbell Crush Grip Bicep Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/at2g_OGyuDE
Double Dumbbell Zottman Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/wrjEdVZrkhk
Dumbbell Waiter Curl,Beginner,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/DjgrEWlgGaY
Cable Straight Bar Drag Curl,Beginner,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/s_5mJUQqQpY?si=4zKcXdHvIHVCrn6n
Cable Rope Hammer Curl,Beginner,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/BXcSLzXrab4?si=KZPHi7uurh7Nb31j
Kettlebell Goblet Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/Z8dcGhS8giQ?si=iQZ35AJwvoHewxyk
Suspension Bicep Curl,Beginner,Biceps,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/nipJ27JfpUI
Double Dumbbell Tricep Kickback,Beginner,Triceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/m_UlDFNX4mk?si=FAleOyAOFc4IiSBT
Tire Jump,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,https://youtu.be/yrNR2OK50Lw?si=o9UhhO3HdGYOlRvS
Tire Jump Through,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,https://youtu.be/1DBz3vodUUc?feature=shared
Tire Broad Jump,Advanced,Quadriceps,Tire,Lower Body,Plyometric,https://youtu.be/juTI6wnRiZ8?si=AItO7HER5TxfhHc9
Tire Step Up,Novice,Quadriceps,Tire,Lower Body,Unsorted*,https://youtu.be/4RsPF6KynpE?feature=shared
Tire Alternating Step Up,Novice,Quadriceps,Tire,Lower Body,Unsorted*,https://youtu.be/JdYIi6Vedy8?si=XLKOd1kgeuZgH3Wp
Tire Alternating Toe Taps Around the World,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,https://youtu.be/diT5j5QRKhs?si=KBmQGQunZ8mtj5zz
Dumbbell Seated Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/-aBcUgsn8Dc
Tire Lateral Jump Through,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,https://youtu.be/H80_t9poKQo?si=eTIuIU_bwT40hUvJ
Tire Carry,Intermediate,Forearms,Tire,Full Body,Unsorted*,https://youtu.be/QskOD3ROxGs?si=Vh3moyP5PVPO8sMy
Dumbbell Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/7h3lG2WnLXg
Double Dumbbell Close Grip Floor Press,Beginner,Triceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/s6ydoB3ktlI
Barbell Back Rack Carry,Intermediate,Abdominals,Barbell,Full Body,Unsorted*,https://youtu.be/c2D4GkTgyo4?si=s6c03eCCz8TWg7br
Single Arm Barbell Suitcase Carry,Intermediate,Forearms,Barbell,Full Body,Unsorted*,https://youtu.be/-FZcqOBDphU?si=FQJnUQP2TsxKmhRA
Suspension Bulgarian Split Squat,Intermediate,Quadriceps,Suspension Trainer,Lower Body,Bodybuilding,https://youtu.be/BnLkbAGE4b4?si=mRL2wc8pDdJKZNbY
Suspension Bulgarian Split Squat Jump,Advanced,Quadriceps,Suspension Trainer,Lower Body,Plyometric,https://youtu.be/ABtwgwo4zyQ?si=eWDNpXtH8qJ31y72
Bodyweight Lateral Bear Crawl,Novice,Abdominals,Bodyweight,Midsection,Animal Flow,https://youtu.be/JLtXEZAwNxQ?feature=shared
Bodyweight Step Up Jump,Intermediate,Quadriceps,Bodyweight,Lower Body,Plyometric,https://youtu.be/bZYAKXoBXGs?si=HbHeFnXtAvKsYndx
Tire Step Up Jump,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,
Bodyweight Alternating Step Up Jump,Intermediate,Quadriceps,Bodyweight,Lower Body,Plyometric,https://youtu.be/vX2vagAc8Mw?si=UH9R_7g0TbIQyHja
Tire Alternating Step Up Jump,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,
Barbell Power Clean to Push Press,Expert,Shoulders,Barbell,Full Body,Olympic Weightlifting ,https://youtu.be/4ws-kHR5NaU?si=3YQjL6sBFZ3aL-hW
Double Dumbbell Close Grip Bench Press,Beginner,Triceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/bo6bVNho2v8?si=hNk_wo1PWsqhkRyo
Double Clubbell Inside Pendulum,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,
Single Arm Clubbell Outside Pendulum,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,https://youtu.be/nDGz-drTS1E?si=phIMAk1VibF9KzwH
Double Clubbell Outside Pendulum,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,
Double Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,
Clubbell Outside Pendulum,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,https://youtu.be/8v5XgK3oeeE?si=kU1NrAcgDEWvlUj6
Double Clubbell Inside Circle,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,
Double Clubbell Outside Circle,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,
Clubbell Side to Side Swing,Intermediate,Abdominals,Clubbell,Full Body,Ballistics,
Double Dumbbell Close Grip Incline Bench Press,Beginner,Triceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/a2RWkUS7ja4?si=MlLBdANbCwT-w0d1
Cable Rope Tricep Pushdown ,Beginner,Triceps,Cable,Upper Body,Bodybuilding,https://youtu.be/e5aj8hhCPkA
Barbell Incline Push Up,Beginner,Chest,Barbell,Upper Body,Calisthenics,https://youtu.be/CKKfNBe687Q
Bodyweight Kneeling Push Up,Beginner,Chest,Bodyweight,Upper Body,Calisthenics,https://youtu.be/TBpk09QuVN8
Suspension Push Up,Beginner,Chest,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/cp_Hl7qd7CI?si=Tw8VVXnhtyW9vra4
Suspension Chest Fly,Beginner,Chest,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/ELmdfR9JvEA
Stability Ball Double Dumbbell Chest Fly,Beginner,Chest,Stability Ball,Upper Body,Unsorted*,https://youtu.be/pHsw9uHVXWA?si=0LlXNPKcyTKyfgU4
Stability Ball Dumbbell Pullover ,Beginner,Back,Stability Ball,Upper Body,Bodybuilding,https://youtu.be/TI1gb3GFUVA
Tire Feet Elevated Glute Bridge,Novice,Glutes,Tire,Lower Body,Bodybuilding,
Double Dumbbell Incline Bench Chest Fly,Beginner,Chest,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/JSDpq14vCZ8?si=DX2UhxTVlOLFkyF3
Suspension Low Row,Beginner,Back,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/hULU2N_9qjk?si=XmozOzBr-Uny0t4A
Tire Flip,Advanced,Back,Tire,Full Body,Unsorted*,https://youtu.be/44E5KRVFWVQ?si=M9W-NS9JbwJV8hDU
Tire In and Out Jump Squat,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,https://youtu.be/4h3cIxkFwlI?si=s_iXYmvt1ljfSFML
Kettlebell Goblet Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/wkMhmQ5wVWY?si=kFZCkvoaBfUNdjvU
Double Dumbbell Suitcase Feet Elevated Calf Raise,Novice,Calves,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/UCfMPCfug60?si=hzjhqnpt1-9bHCWt
Double Dumbbell Suitcase Calf Raise,Beginner,Calves,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/wsOcmGYOn3M?si=2w1Cs0RdcdjnHLYG
Suspension Mid Row,Beginner,Back,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/W-nnq0Ks1A0
Double Dumbbell Seated Calf Raise,Beginner,Calves,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/3ZRe_QpvRPg?si=X5ees0OsHDogPrA9
Barbell Seated Calf Raise,Novice,Calves,Barbell,Lower Body,Bodybuilding,https://youtu.be/hv00OCqm0HI?feature=shared
Double Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Clubbell,Lower Body,Bodybuilding,
Double Clubbell Order Calf Raise,Beginner,Calves,Clubbell,Lower Body,Bodybuilding,
Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Clubbell,Lower Body,Bodybuilding,
Clubbell Order Calf Raise,Beginner,Calves,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Calf Raise,Beginner,Calves,Clubbell,Lower Body,Bodybuilding,
Bodyweight Hand Assisted Feet Elevated Calf Raise,Beginner,Calves,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/JUDbOvgH6AQ?si=p3CkDDLIlKjuufVF
Bodyweight Hand Assisted Calf Raise,Beginner,Calves,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/HwG4_WIMB7g?si=ly2SGRWM5lHuzOHF
Bodyweight Calf Raise,Beginner,Calves,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/tg3HcGWhGN8?si=i7ZBKBUTgTovDmeO
Bodyweight Hand Assisted Foot Elevated Single Leg Calf Raise,Novice,Calves,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/5hkhz_nMuws?si=gPxN6_F1w9qQdHvy
Bodyweight Hand Assisted Single Leg Calf Raise,Novice,Calves,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/5hkhz_nMuws?si=M_cdEJeEYZLJJD6j
Bodyweight Single Leg Calf Raise,Novice,Calves,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/AWBGE0PlYkI?si=INJvlHfbZ6BpG0RT
Barbell Front Rack Feet Elevated Calf Raise,Intermediate,Calves,Barbell,Lower Body,Bodybuilding,
Kettlebell Goblet Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/Q8s5KVgRjsI?si=LU2DAUzkwtjOm87N
Double Kettlebell L Sit Flutter Kicks,Advanced,Abdominals,Kettlebell,Midsection,Calisthenics,https://youtu.be/bNmYhWaTtDE?si=0pRJsSgsFQN8tX9D
Double Dumbbell Front Rack Feet Elevated Calf Raise,Novice,Calves,Dumbbell,Lower Body,Bodybuilding,
Double Dumbbell Front Rack Calf Raise,Beginner,Calves,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/nDJ9cjw2J7Y?feature=shared
Barbell Back Rack Feet Elevated Calf Raise,Intermediate,Calves,Barbell,Lower Body,Bodybuilding,https://youtu.be/-zJsdaS13fk
Tire Mountain Climber,Novice,Abdominals,Tire,Midsection,Calisthenics,https://youtu.be/-ouYHaP9g9g?si=qc9f_XLeK0tBdsDc
Bodyweight Wall Supported Tibialis Raise,Beginner,Shins,Bodyweight,Lower Body,Unsorted*,https://youtu.be/nQKgHwi8W9E?si=h2cdsN6y8_YWkxWd
Cable Seated Tibialis Raise,Novice,Shins,Cable,Lower Body,Unsorted*,https://youtu.be/XPrwraNV8zU?si=uYKDsDSy6F1lqx7L
Cable Seated Single Leg Tibialis Raise,Novice,Shins,Cable,Lower Body,Unsorted*,https://youtu.be/tSDRe05L18Q?si=tzWWp_aDlp6K7_QS
Kettlebell Goblet Walking Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/oV97EckMQlo?si=-UB0G60JaIQ6f-4v
Dumbbell Seated Tibialis Raise,Novice,Shins,Dumbbell,Lower Body,Unsorted*,https://youtu.be/2amvxbpU20c?si=ymK8PzcHyFCMv-oX
Kettlebell Horn Grip Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/hP0wET7bCog?si=trU9Rde7VACKCuEn
Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/w6vfiCgfbXA?si=RhaJhv_PYjW4LLj5
Double Dumbbell Seated Feet Elevated Calf Raise,Beginner,Calves,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/W5FNgQSaDfU?si=mrb4anmAuXMyWfuC
Barbell Seated Feet Elevated Calf Raise,Novice,Calves,Barbell,Lower Body,Bodybuilding,https://youtu.be/TyJOknODp8g?si=lIKKdyiWkncjpZtZ
Kettlebell Horn Grip Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/fZeR04SyMnM?si=PcC3GMitpRy-d_N5
Tire Leg Press,Intermediate,Quadriceps,Tire,Lower Body,Bodybuilding,https://youtu.be/YtKIXuPCj1M?si=ng5HKT4Y_EUFLk95
Cable Split Squat Isometric Pallof Press,Intermediate,Abdominals,Cable,Full Body,Balance,https://youtu.be/zMR-P_9GGKE?feature=shared
Bodyweight Split Squat Isometric Calf Raise,Intermediate,Calves,Bodyweight,Lower Body,Balance,https://youtu.be/pM_ycFCgDxU?si=YT2fo22-rIu4kKPM
Bodyweight Split Squat Isometric Foot Elevated Calf Raise,Intermediate,Calves,Bodyweight,Lower Body,Balance,https://youtu.be/mdl2K7zkcQ8?si=HIQ62ZGgxGxvMCfb
Double Dumbbell Suitcase Split Squat Isometric Calf Raise,Advanced,Calves,Dumbbell,Lower Body,Balance,
Double Dumbbell Suitcase Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Dumbbell,Lower Body,Balance,
Kettlebell Horn Grip Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/hn0H9wrT7I0?si=2puOZbS5dzRQTGh6
Kettlebell Horn Grip Walking Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/d7cVOMtyjS8?si=-LwL939gyb_zs3lu
Barbell Back Rack  Split Squat Isometric Calf Raise,Advanced,Calves,Barbell,Lower Body,Balance,
Barbell Back Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Barbell,Lower Body,Balance,
Barbell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Barbell,Lower Body,Balance,
Barbell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Barbell,Lower Body,Balance,
Single Arm Dumbbell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/xASrMCHjL4M?si=-Ue1QOKJH5pRPoTH
Double Kettlebell Straddle L Sit,Advanced,Abdominals,Kettlebell,Midsection,Calisthenics,
Double Dumbbell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Dumbbell,Lower Body,Balance,
Double Dumbbell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Dumbbell,Lower Body,Balance,
Single Arm Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Bodyweight Jump Squat,Intermediate,Quadriceps,Bodyweight,Lower Body,Plyometric,https://youtu.be/YGGq0AE5Uyc?si=or6Xddi0YaAkHuXV
Double Dumbbell Suitcase Alternating Step Up,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/R61TjoYofDE?si=sA8kbakWIt24ow1A
Double Dumbbell Front Rack Step Up,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/hKLIHPXmPA4?si=mk9hkktF_4qw0okV
Cable V Grip Seated Low Row,Beginner,Back,Cable,Upper Body,Bodybuilding,https://youtu.be/EhAho9Szp-0
Resistance Band Half Kneeling Face Pull,Beginner,Shoulders,Resistance Band,Upper Body,Unsorted*,https://youtu.be/pxnaBaRRZiY
Bodyweight Prone Cobra,Beginner,Back,Bodyweight,Upper Body,Postural,https://youtu.be/NZSBjpVpvw8?si=lyk8zIAtzX2ETUc_
